       Wavelength             Transmission
3.027429000000000148e+00 6.980961920611440316e-03
3.030451999999999924e+00 6.934713420611440110e-03
3.033478000000000119e+00 7.084369420611439858e-03
3.036506999999999845e+00 6.925548920611439632e-03
3.039538999999999991e+00 6.925613920611440114e-03
3.042574000000000112e+00 6.973863420611440059e-03
3.045612000000000208e+00 6.948290420611439970e-03
3.048652999999999835e+00 6.962697420611440105e-03
3.051696999999999882e+00 6.965913420611440435e-03
3.054745000000000044e+00 6.982523420611440670e-03
3.057795000000000041e+00 6.913133920611439637e-03
3.060848000000000013e+00 6.939469420611439968e-03
3.063905000000000101e+00 6.943722920611440641e-03
3.066964000000000024e+00 6.979495420611440265e-03
3.070025999999999922e+00 6.986430420611439845e-03
3.073091999999999935e+00 6.936294420611440609e-03
3.076160999999999923e+00 7.056219420611440502e-03
3.079232000000000191e+00 6.976281920611440354e-03
3.082307000000000130e+00 6.935396420611439697e-03
3.085385000000000044e+00 7.037411920611439872e-03
3.088465999999999934e+00 6.939389920611440180e-03
3.091550000000000242e+00 7.007060420611440493e-03
3.094637000000000082e+00 6.985251420611440255e-03
3.097726999999999897e+00 6.937515920611439513e-03
3.100820000000000132e+00 6.946897920611440000e-03
3.103915999999999897e+00 7.082004420611440025e-03
3.107016000000000222e+00 6.951071920611440018e-03
3.110118000000000382e+00 7.048232920611440140e-03
3.113223999999999769e+00 6.970049920611440242e-03
3.116332000000000324e+00 7.174261420611440128e-03
3.119444000000000106e+00 6.949135920611439893e-03
3.122558999999999862e+00 6.981309420611440421e-03
3.125677000000000039e+00 7.074528920611440445e-03
3.128797999999999746e+00 7.008393920611440293e-03
3.131921999999999873e+00 7.048794920611440099e-03
3.135050000000000114e+00 7.039094420611439855e-03
3.138180000000000192e+00 7.017324920611440510e-03
3.141313999999999940e+00 7.016897420611440013e-03
3.144449999999999967e+00 6.996633420611440141e-03
3.147589999999999666e+00 7.030980420611439817e-03
3.150733000000000228e+00 6.983393920611440445e-03
3.153878999999999877e+00 6.979465420611440443e-03
3.157029000000000085e+00 7.052889420611440328e-03
3.160181000000000129e+00 7.021939920611439991e-03
3.163336999999999843e+00 7.059699920611440388e-03
3.166495000000000282e+00 7.153539920611439937e-03
3.169657000000000391e+00 7.001523420611440590e-03
3.172822000000000031e+00 7.000105420611440164e-03
3.175990000000000091e+00 6.942104920611440536e-03
3.179162000000000265e+00 7.005824420611440548e-03
3.182336000000000276e+00 6.994811420611439859e-03
3.185514000000000401e+00 7.056274420611440175e-03
3.188695000000000057e+00 6.975638420611439926e-03
3.191879000000000133e+00 6.985039920611440557e-03
3.195066000000000184e+00 7.158337920611440239e-03
3.198256000000000210e+00 6.989158920611440035e-03
3.201449999999999907e+00 6.999562920611440350e-03
3.204647000000000023e+00 6.969781420611440188e-03
3.207846999999999671e+00 6.978202420611439964e-03
3.211049999999999738e+00 7.028634420611440392e-03
3.214255999999999780e+00 7.041693920611440290e-03
3.217465999999999937e+00 7.143340920611440138e-03
3.220679000000000070e+00 7.036379920611440103e-03
3.223894000000000037e+00 7.058243920611440014e-03
3.227113999999999816e+00 6.999000920611440392e-03
3.230335999999999874e+00 7.243803920611440426e-03
3.233562000000000047e+00 7.047051420611440131e-03
3.236789999999999612e+00 6.967407920611439626e-03
3.240022999999999875e+00 7.025232920611440557e-03
3.243257999999999974e+00 7.089422920611440117e-03
3.246496000000000048e+00 6.973232420611439990e-03
3.249738000000000238e+00 7.051727420611440464e-03
