       Wavelength             Transmission
1.319622000000000073e+00 6.588410000000000273e-03
1.320940000000000003e+00 7.240748999999999450e-03
1.322258999999999851e+00 6.705163999999999569e-03
1.323579000000000061e+00 6.614873999999999754e-03
1.324901000000000106e+00 6.588287999999999436e-03
1.326223999999999847e+00 6.734158000000000505e-03
1.327547999999999950e+00 6.477448999999999707e-03
1.328874000000000111e+00 7.275074999999999771e-03
1.330200000000000049e+00 7.151119999999999526e-03
1.331528999999999963e+00 6.642810000000000728e-03
1.332858000000000098e+00 7.588250000000000377e-03
1.334189000000000069e+00 6.641608000000000234e-03
1.335520999999999958e+00 6.660122999999999564e-03
1.336855000000000127e+00 7.143995000000000206e-03
1.338189999999999991e+00 6.962651000000000256e-03
1.339525999999999994e+00 6.572513000000000313e-03
1.340864000000000056e+00 6.910551999999999494e-03
1.342202999999999813e+00 6.511320000000000996e-03
1.343543000000000154e+00 7.546538999999999678e-03
1.344883999999999968e+00 8.296002000000000237e-03
1.346227000000000062e+00 6.657477000000001054e-03
1.347571999999999992e+00 7.471339999999999058e-03
1.348916999999999922e+00 7.062399999999999928e-03
1.350264000000000131e+00 7.088541999999999760e-03
1.351612000000000036e+00 7.550004999999999390e-03
1.352961999999999998e+00 7.169256000000000587e-03
1.354313000000000100e+00 7.400455999999999701e-03
1.355665000000000120e+00 7.648361000000000222e-03
1.357018999999999975e+00 6.855797999999999753e-03
1.358373999999999970e+00 8.075014000000000150e-03
1.359730000000000105e+00 7.011783000000000599e-03
1.361088000000000076e+00 8.346217999999998999e-03
1.362447000000000186e+00 7.512967000000000603e-03
1.363807999999999909e+00 6.855198999999999321e-03
1.365169999999999995e+00 6.906996000000000316e-03
1.366532999999999998e+00 7.543919999999999099e-03
1.367896999999999919e+00 7.184893999999998962e-03
1.369262999999999897e+00 7.527665000000000224e-03
1.370630000000000015e+00 7.551742000000000177e-03
1.371998999999999969e+00 7.192348999999999791e-03
1.373369000000000062e+00 6.849960000000001291e-03
1.374740000000000073e+00 7.076329999999999600e-03
1.376112999999999920e+00 7.347890000000000151e-03
1.377486999999999906e+00 6.676959999999999146e-03
1.378863000000000172e+00 7.206392000000000700e-03
1.380239999999999911e+00 7.838200999999999502e-03
1.381617999999999791e+00 6.753911999999999069e-03
1.382997000000000032e+00 7.124479000000000402e-03
1.384378000000000108e+00 7.667156999999999965e-03
1.385761000000000021e+00 7.439119999999999587e-03
1.387143999999999933e+00 7.172271000000000028e-03
1.388529999999999820e+00 6.689694000000000369e-03
1.389916000000000151e+00 8.255927999999999184e-03
1.391304000000000096e+00 7.121859000000000349e-03
1.392692999999999959e+00 8.008153000000000493e-03
1.394083999999999879e+00 6.630380999999999428e-03
1.395475999999999939e+00 7.197481999999998971e-03
1.396868999999999916e+00 7.069193000000000525e-03
1.398264000000000173e+00 6.724446000000000243e-03
1.399660000000000126e+00 8.068560000000000662e-03
1.401057999999999915e+00 7.942723999999999965e-03
1.402457000000000065e+00 6.873711000000000231e-03
1.403857000000000133e+00 7.004892999999999884e-03
1.405259000000000036e+00 7.629283000000000592e-03
1.406662000000000079e+00 7.758749000000000548e-03
1.408066999999999958e+00 7.175171000000000153e-03
1.409472999999999976e+00 6.901749999999999899e-03
1.410879999999999912e+00 7.695935999999999576e-03
1.412288999999999906e+00 6.947744000000000489e-03
1.413699000000000039e+00 7.296963999999999534e-03
1.415111000000000008e+00 6.923458999999999863e-03
1.416523999999999894e+00 6.865113999999999418e-03
1.417939000000000060e+00 7.145327999999999402e-03
